a ，
s 。
d 、
d ·
d •
d ．
f ！
f ｜
f ‖
g ？
h …
h ～
h 々
h ¨
j ‘
j ’
j “
j ”
j ＇
j ＂
j 〃
k ：
k ∶
k ；
l ＋
l －
l ×
l ÷
l ＝
l ％
l ‰
z ¥
z ￥
z Ұ
z ұ
z ＄
x （
x ）
x ｛
x ｝
c 〈
c 〉
c ＜
c ＞
v 《
v 》
b 〔
b 〕
b ［
b ］
n 【
n 】
n 〖
n 〗
n 「
n 」
n 『
n 』
m ／
m ＼
m ＊
m ＆
m ＃
m ︿
m ＿
ppppp 〇
ppppp 亠
pppwu 弯
pppeu 亪
ppqpp 疒
ppqpq 韲
ppqpw 亹
ppqpw 斖
ppqpw 衁
ppqpw 齍
ppqpe 㻾
ppqpr 㙜
ppqpr 㙶
ppqpr 䜃
ppqpr 主
ppqpr 堃
ppqpr 壅
ppqpt 童
ppqpy 亶
ppqpi 立
ppqpo 䥆
ppqpo 銮
ppqqq 㾚
ppqqq 痄
ppqqq 症
ppqqq 痱
ppqqq 癧
ppqqw 㽸
ppqqw 㾃
ppqqw 㾌
ppqqw 㾤
ppqqw 㾩
ppqqw 㿖
ppqqw 㿛
ppqqw 疕
ppqqw 疘
ppqqw 疣
ppqqw 疪
ppqqw 疮
ppqqw 疱
ppqqw 疵
ppqqw 疽
ppqqw 痆
ppqqw 痉
ppqqw 痖
ppqqw 痙
ppqqw 痥
ppqqw 痲
ppqqw 瘂
ppqqw 瘟
ppqqw 瘥
ppqqw 瘪
ppqqw 癙
ppqqe 瘣
ppqqr 㽵
ppqqr 㾏
ppqqr 㾠
ppqqr 㾮
ppqqr 㾱
ppqqr 㿀
ppqqr 疟
ppqqr 疰
ppqqr 痊
ppqqr 痓
ppqqr 痝
ppqqr 痤
ppqqr 瘗
ppqqr 瘞
ppqqr 瘧
ppqqr 癍
ppqqr 癦
ppqqt 㾖
ppqqt 㿈
ppqqt 㿑
ppqqt 㿚
ppqqt 痽
ppqqt 瘇
ppqqt 瘫
ppqqt 瘽
ppqqt 癃
ppqqt 癕
ppqqt 癨
ppqqt 癯
ppqqt 癰
ppqqt 癱
