a      日
aa     昌
aaa    晶
aate   曝
ab     明
abac   暝
abbe   暧
abbt   盟
abkq   晖
abme   暖
abu    冒
ad     杲
adhl   晰
adi    时
af     炅
afhhh  影
afmbo  颢
afmu   晃
ahbr   晌
ahbu   眉
ahgf   曛
ahhl   昴
ahln   剔
ahml   昕
ahqm   星
ahs    昨
ahul   昂
ahyr   晷
ai     旷
aihs   晟
aijb   晡
aimlu  既
aisl   即
aj     早
ajd    昧
ajka   暑
ajmm   暄
ajpu   晓
ajv    晏
akb    映
aku    旯
allt   显
alyo   晁
am     旦
amcw   晒
amg    旺
ami    戥
amj    旱
amk    昊
ammi   昙
ammr   晤
ammv   晨
amo    昃
amwg   量
amyo   是
anau   晚
anok   暌
aoir   晗
aombo  题
aop    匙
aopj   晔
aoqs   韪
aowy   晦
aphh   易
app    昆
apvo   曷
apy    昀
aqmb   晴
arf    照
arye   暇
ashr   昭
asje   最
asp    昵
asyg   曜
atce   暴
atgs   曦
au     巴
auam   暨
auks   勖
aupsm  鹛
av     艮
avg    垦
avno   歇
avp    恳
awla   曙
awle   曼
aydk   暾
ayrf   景
ayrv   曩
ayt    昱
ayta   暗
b      月
babt   腽
bahm   腥
bakb   幂
bam    胆
bau    肥
bayc   冥
bb     朋
bbb    骨
bbe    受
bbfdv  髅
bbher  骼
bbhhj  髀
bbhmr  骺
bbhpm  骶
bbhue  骰
bbiob  髓
bbjhr  髂
bbjoc  髌
bbjr   骷
bbjtu  髋
bbke   爱
bblu   觅
bbm    册
bbmr   胴
bbnd   脬
bbnq   舜
bboll  骱
bbpm   鹏
bbpsm  鹘
bbwd   髁
bbwli  髑
bbyvo  骸
bcmj   罕
bcru   脱
bd     采
bdhhh  彩
bdi    肘
bdnl   郛
bdoe   膝
bdu    乳
bf     炙
bfbg   膛
bfd    脒
bfdq   膦
bfmu   胱
bfq    胖
bfqe   滕
bfqg   塍
bfqm   腾
bfqv   媵
bg     肚
bghqu  氍
bgil   脚
bgr    周
bgte   臌
bgth   膨
bhae   腺
bhbv   脓
bhdh   豺
bher   胳
bhhau  貌
bhher  貉
bhhh   肜
bhhj   脾
bhhwp  貔
bhmha  貊
bhod   貅
bhpi   豹
bhpm   胝
bhqm   胜
bhs    胙
bhshr  貂
bhtak  貘
bhu    肌
bhue   股
bhx    舀
bhxo   腴
bibi   膊
big    脏
bijb   脯
bikp   胧
bine   脉
bioi   腑
biov   腿
bip    悬
bipo   腻
bir    胎
bitc   臁
biypu  虢
bjb    肺
bjbd   脖
bjbj   腩
bjcg   膣
bjcm   腔
bje    肢
bjmf   腙
bjmo   腚
bjmu   脘
bjnu   腕
bjoc   膑
bjv    胺
bk     冈
bkd    胨
bkf    然
bki    肱
bkk    网
bkln   刚
bklu   腌
bkms   胯
bkn    胰
bkq    军
bks    肋
bksc   胁
bl     肿
blmy   腓
bln    刖
blu    见
blwl   胂
bm     且
bmfm   胚
bmhw   腼
bmi    县
bmj    肝
bmke   爰
bmks   助
bmln   删
bmmc   具
bmms   肟
bmmu   朊
bmog   雎
bmpo   豚
bmr    同
bmrb   膈
bmui   冠
bmwf   膘
bmwv   腰
bnd    孚
bnhh   豸
bnkq   腱
bnmu   脆
bno    肷
bnom   胫
bnsh   肠
bnui   冤
bo     贝
boae   腹
boaph  赐
bob    肭
bocwa  赠
bodh   财
boff   赕
bohe   贩
boher  赂
bohh   胗
bohio  贬
boibi  赙
boig   赃
boij   贼
boije  赇
boim   贱
boir   贻
bojka  赌
bojm   贮
bojnk  赎
bokb   贿
boln   则
bomi   脍
bomm   脸
bommf  祭
bommv  赈
