a ㄚ
aq ㄚˉ
aqq ㄚˊ
aqqq ㄚˇ
aqqqq ㄚˋ
aqqqqq ㄚ˙
ai ㄞ
aiq ㄞˉ
aiqq ㄞˊ
aiqqq ㄞˇ
aiqqqq ㄞˋ
aiqqqqq ㄞ˙
an ㄢ
anq ㄢˉ
anqq ㄢˊ
anqqq ㄢˇ
anqqqq ㄢˋ
anqqqqq ㄢ˙
ang ㄤ
angq ㄤˉ
angqq ㄤˊ
angqqq ㄤˇ
angqqqq ㄤˋ
angqqqqq ㄤ˙
ao ㄠ
aoq ㄠˉ
aoqq ㄠˊ
aoqqq ㄠˇ
aoqqqq ㄠˋ
aoqqqqq ㄠ˙
ba ㄅㄚ
baq ㄅㄚˉ
baqq ㄅㄚˊ
baqqq ㄅㄚˇ
baqqqq ㄅㄚˋ
baqqqqq ㄅㄚ˙
bai ㄅㄞ
baiq ㄅㄞˉ
baiqq ㄅㄞˊ
baiqqq ㄅㄞˇ
baiqqqq ㄅㄞˋ
baiqqqqq ㄅㄞ˙
ban ㄅㄢ
banq ㄅㄢˉ
banqq ㄅㄢˊ
banqqq ㄅㄢˇ
banqqqq ㄅㄢˋ
banqqqqq ㄅㄢ˙
bang ㄅㄤ
bangq ㄅㄤˉ
bangqq ㄅㄤˊ
bangqqq ㄅㄤˇ
bangqqqq ㄅㄤˋ
bangqqqqq ㄅㄤ˙
bao ㄅㄠ
baoq ㄅㄠˉ
baoqq ㄅㄠˊ
baoqqq ㄅㄠˇ
baoqqqq ㄅㄠˋ
baoqqqqq ㄅㄠ˙
be ㄅㄜ
beq ㄅㄜˉ
beqq ㄅㄜˊ
beqqq ㄅㄜˇ
beqqqq ㄅㄜˋ
beqqqqq ㄅㄜ˙
bei ㄅㄟ
beiq ㄅㄟˉ
beiqq ㄅㄟˊ
beiqqq ㄅㄟˇ
beiqqqq ㄅㄟˋ
beiqqqqq ㄅㄟ˙
ben ㄅㄣ
benq ㄅㄣˉ
benqq ㄅㄣˊ
benqqq ㄅㄣˇ
benqqqq ㄅㄣˋ
benqqqqq ㄅㄣ˙
beng ㄅㄥ
bengq ㄅㄥˉ
bengqq ㄅㄥˊ
bengqqq ㄅㄥˇ
bengqqqq ㄅㄥˋ
bengqqqqq ㄅㄥ˙
ber ㄅㄦ
berq ㄅㄦˉ
berqq ㄅㄦˊ
berqqq ㄅㄦˇ
berqqqq ㄅㄦˋ
berqqqqq ㄅㄦ˙
bi ㄅㄧ
biq ㄅㄧˉ
biqq ㄅㄧˊ
biqqq ㄅㄧˇ
biqqqq ㄅㄧˋ
biqqqqq ㄅㄧ˙
bia ㄅㄧㄚ
